StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
9,0500148,HCBUSB-BP123A-2023,HCBUSB,N,N,240,35,2,0,PT,HE,Other vocational programme – other,Kirkcaldy,8,2023-09-02 00:00:00,N,Registered unemployed - not receiving jobseekers allowance,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1445,Male,Prefer not to say,Scotland,Buddhist,Heterosexual/straight,0,0
15,0500163,HDCSD-BF221A-2021,HDCSD,N,Y,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,42,2021-08-30 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3144,Male,Other,Scotland,None,Heterosexual/straight,1,0
15,0500163,NQMAT4-HE121A-2021,NQMAT4,N,Y,160,36,1,0,PT,FE,Other vocational programme – other,Dunfermline,26,2021-08-24 00:00:00,N,Not registered unemployed but not working,Self-financing student,No,No known disability,No,No,Scottish,3144,Male,Other,Scotland,None,Heterosexual/straight,1,0
25,0500202,ICBEA5-BF121B-2021,ICBEA5,N,N,640,40,1,16,FT,FE,Other vocational programme – other,Kirkcaldy,7,2021-08-30 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4535,Female,Other,Scotland,None,Heterosexual/straight,0.1875,1
25,0500202,ICBEA5-BF122A-2022,ICBEA5,N,N,720,40,1,18,FT,FE,Other vocational programme – other,Kirkcaldy,32,2022-08-29 00:00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4535,Female,Other,Scotland,None,Heterosexual/straight,0.3333,1
55,0500322,HCAIT-BF123A-2023,HCAIT,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,4,2023-08-28 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Specific learning difficulty,No,No,Scottish,2213,Female,Married,Scotland,None,Heterosexual/straight,0,0
55,0500322,PDINT7-FO122A-2022,PDINT7,N,Y,160,40,1,4,PT,HE,Other vocational programme – other,Other,33,2022-08-30 00:00:00,N,Registered unemployed - not receiving jobseekers allowance,Universal Credit (UC),No,Specific learning difficulty,No,No,Scottish,148,Female,Married,Scotland,None,Heterosexual/straight,1,0
58,0500329,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,34,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1913,Female,Other,Scotland,None,Heterosexual/straight,1,0
59,0500330,ACPTU6-BF121A-2021,ACPTU6,N,N,720,36,1,16,FT,FE,Other vocational programme – other,Kirkcaldy,42,2021-08-30 00:00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,Yes,Scottish,1877,Female,Married,Scotland,None,Heterosexual/straight,1,0
66,0500421,HDPHO-HF122A-2022,HDPHO,N,N,600,36,2,0,FT,HE,Other vocational programme – other,Dunfermline,39,2022-08-29 00:00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,2452,Male,Married,Scotland,None,Heterosexual/straight,1,1
