StudentID,IdNumber,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Withdrawn
9,0500148,HCBUSB,N,N,240,35,2,0,PT,HE,Other vocational programme – other,Kirkcaldy,8,02/09/2023 00:00,N,Registered unemployed - not receiving jobseekers allowance,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1445,Male,Prefer not to say,Scotland,Buddhist,Heterosexual/straight,0
55,0500322,HCAIT,N,N,600,36,1,0,FT,HE,Other vocational programme – other,Kirkcaldy,4,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,Specific learning difficulty,No,No,Scottish,2213,Female,Married,Scotland,None,Heterosexual/straight,0
157,0500782,VQHAI6,N,N,720,30,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,18,28/08/2023 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1312,Female,Prefer not to say,Scotland,Prefer not to say,Heterosexual/straight,1
179,0500887,HDCOU,N,N,600,40,3,15,FT,HE,Other vocational programme – other,Kirkcaldy,-66,28/08/2023 00:00,N,Full-time college based not included above,Self-financing student,No,No known disability,No,No,Scottish,187,Male,Other,Scotland,None,Heterosexual/straight,0
203,0500996,FEEMES,N,Y,160,40,1,4,PT,FE,Other vocational programme – other,Other,-88,14/09/2023 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,3523,Male,Other,Scotland,None,Heterosexual/straight,0
208,0501014,HEEFAW,N,Y,80,40,1,2,PT,HE,Other vocational programme – other,Other,-28,28/08/2023 00:00,N,Permanent or temporary employment,Self-financing student,No,No known disability,No,No,Scottish,3805,Male,Other,Scotland,None,Heterosexual/straight,0
230,0501131,CDGFC4,N,Y,20,8,1,5,PT,FE,Other vocational programme – other,Other,0,14/08/2023 21:13,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,1957,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
230,0501131,HCSSH,N,N,480,40,1,15,FT,HE,Other vocational programme – other,Other,46,28/08/2023 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,1957,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
230,0501131,ONWLC5,N,N,20,20,1,1,PT,FE,Other vocational programme – other,Other,0,10/02/2024 08:35,N,Not registered unemployed but not working,Fee waiver – low income,No,No known disability,No,No,Scottish,1957,Male,Prefer not to say,Scotland,None,Heterosexual/straight,0
260,0501408,HCART,N,Y,600,36,1,15,FT,HE,Other vocational programme – other,Glenrothes,-1,28/08/2023 00:00,Y,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,Yes,No,Scottish,584,Male,Other,Scotland,None,Heterosexual/straight,0
