StudentID,IdNumber,CourseKey,CourseCode,Course.WorkExperienceIndicator,Course.STEMFlag,Course.PlannedLearningHours,Course.NumberOfWeeks,Course.LengthOfCourse,Course.HoursPerWeek,Course.FT_PT,Course.FE_HE,Course.CourseTypeTitle,Course.Campus,EnrolmentToStartCourseDays,AnnualStartDate,HasApprovedFundClaim,StudentCategoryTitle,SourceOfFinanceTitle,vStudent_Indicators_InYear.CareExperienced,vStudent_Indicators_InYear.DisabilityName,vStudent_Indicators_InYear.HasPLSP,vStudent_Indicators_InYear.IsCarer,vStudent_Indicators.Ethnicity,vStudent_Indicators_InYear.SIMD_Rank,vStudent_Indicators.Gender,vStudent_Indicators.MaritalStatus,vStudent_Indicators.Nationality,vStudent_Indicators.Religion,vStudent_Indicators.SexualOrientation,Average of AttendanceRate,Withdrawn
15,0500163,HDCSD-BF221A-2021,HDCSD,N,Y,600,36,2,0,FT,HE,Other vocational programme – other,Kirkcaldy,42,30/08/2021 00:00,N,Full-time college based not included above,Student Awards Agency for Scotland (SAAS),No,No known disability,No,No,Scottish,3144,Male,Other,Scotland,None,Heterosexual/straight,0.9697810810810811,0
15,0500163,NQMAT4-HE121A-2021,NQMAT4,N,Y,160,36,1,0,PT,FE,Other vocational programme – other,Dunfermline,26,24/08/2021 00:00,N,Not registered unemployed but not working,Self-financing student,No,No known disability,No,No,Scottish,3144,Male,Other,Scotland,None,Heterosexual/straight,0.9166666666666666,0
25,0500202,ICBEA5-BF121B-2021,ICBEA5,N,N,640,40,1,16,FT,FE,Other vocational programme – other,Kirkcaldy,7,30/08/2021 00:00,N,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,4535,Female,Other,Scotland,None,Heterosexual/straight,0.1708333333333333,1
58,0500329,NQACC6-SF121A-2021,NQACC6,N,N,760,36,1,19,FT,FE,Other vocational programme – other,Glenrothes,34,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,1913,Female,Other,Scotland,None,Heterosexual/straight,0.8329297297297298,0
59,0500330,ACPTU6-BF121A-2021,ACPTU6,N,N,720,36,1,16,FT,FE,Other vocational programme – other,Kirkcaldy,42,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,Yes,Yes,Scottish,1877,Female,Married,Scotland,None,Heterosexual/straight,0.8381394736842105,0
66,0500421,NCPHO6-HF121A-2021,NCPHO6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Dunfermline,17,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,No known disability,No,No,Scottish,2452,Male,Married,Scotland,None,Heterosexual/straight,0.9404777777777777,0
81,0500495,NQICW4-BS121A-2021,NQICW4,N,N,400,17,1,22,PT,FE,Other vocational programme – other,Kirkcaldy,-9,07/02/2022 00:00,Y,Full-time college based not included above,Fee waiver – Short full-time (SFT) course,No,Other impairment not listed,Yes,No,Scottish,400,Female,Prefer not to say,Scotland,None,Prefer not to say,0.8625,0
81,0500495,NQPHD6-BF121A-2021,NQPHD6,N,N,720,36,1,0,FT,FE,Other vocational programme – other,Kirkcaldy,-25,30/08/2021 00:00,Y,Full-time college based not included above,Fee waiver – full-time non-advanced,No,Other impairment not listed,Yes,No,Scottish,400,Female,Prefer not to say,Scotland,None,Prefer not to say,0.6795666666666667,1
107,0500573,ONPFP-HP121A-2021,ONPFP,N,N,28,1,1,0,PT,FE,Other vocational programme – other,Other,83,09/08/2021 00:00,N,Permanent or temporary employment,UK industry and commerce,No,No known disability,No,No,Scottish,4597,Female,Prefer not to say,Scotland,None,Heterosexual/straight,1,0
112,0500583,NQICS6-SE121A-2021,NQICS6,N,N,120,33,1,0,PT,FE,Other vocational programme – other,Glenrothes,33,15/09/2021 00:00,N,Permanent or temporary employment,Individual Training Account,No,No known disability,No,No,Any mixed background,1676,Female,Prefer not to say,Scotland,None,Heterosexual/straight,0.9090909090909091,0
