EnrolmentID,IdNumber,Age,Age_CourseStart,AllCourseID,AnnualStartDate,AnnualEndDate,EnrolledOnDate,ClassSize,DisabilityCode,EthnicityCode,FE,FT,GenderCode,HasChildcareFund,HasHardshipFund,HE,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ScqfLevelCode,ReligionCode,SexualOrientationCode,SIMD_Rank,PI_1,AttendanceRate,AuthAbsenseRate,AbsenseRate
1171634,2045118,22,20,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-12 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,3,09,13,40,Y,06,01,1,1550,Completed: Successful,1,0,0
1171638,L000120943,28,26,RE1A,2021-09-09 00:00:00,2021-12-14 00:00:00,2021-04-12 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,4,09,13,40,Y,06,01,6,4260,Completed: Successful,1,0,0
1171647,2045130,44,42,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-12 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,3,09,13,40,Y,06,01,1,3569,Completed: Successful,1,0,0
1171652,1621718,57,54,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-12 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,4,09,13,40,Y,06,11,6,2674,Completed: Successful,1,0,0
1171668,0515904,27,25,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-12 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,3,09,13,40,Y,06,01,1,4628,Completed: Successful,1,0,0
1172120,2046044,52,49,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-15 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,1,09,13,40,Y,06,01,1,5425,Further Withdrawal,1,0,0
1172162,2146054,60,57,RE1A,2021-09-09 00:00:00,2021-12-14 00:00:00,2021-04-15 00:00:00,14,01,10,Y,N,M,0,0,N,3,1,3,09,13,40,Y,06,01,6,5887,Completed: Successful,1,0,0
1173025,2046145,46,43,RE1A,2021-09-09 00:00:00,2021-12-14 00:00:00,2021-04-20 00:00:00,14,06,10,Y,N,M,0,0,N,3,1,3,09,13,40,Y,06,01,1,1209,Completed: Partial Success,1,0,0
1173026,2046147,35,33,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-20 00:00:00,14,01,11,Y,N,M,0,0,N,3,1,4,09,13,40,Y,06,11,6,3568,Completed: Successful,1,0,0
1173027,2146148,35,33,SE1A,2021-09-08 00:00:00,2021-12-13 00:00:00,2021-04-20 00:00:00,14,01,31,Y,N,M,0,0,N,3,1,1,09,13,40,Y,06,01,1,667,Completed: Successful,1,0,0
