EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,EnrolledOnDate,AnnualStartDate,AnnualEndDate,HasChildcareFund,HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Confirmed,HoursPerWeek,LengthOfCourse,MaritalStatusCode,MoACode,NumberOfWeeks,PlannedLearningHours,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,SIMD_Rank,PI_1
1291455,177791,BD1A,2021,17,12,15,2021-11-24 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,10,01,1,1,5,1,4,07,28,170,Y,03,04,N,6,987,Completed: Successful
1222763,174523,BD1A,2021,18,5,15,2021-08-24 00:00:00,2021-08-25 00:00:00,2022-05-24 00:00:00,0,0,N,Y,N,M,10,01,1,1,13,2,3,07,39,500,Y,01,06,N,1,4299,Completed: Partial Success
1216867,138741,BD1A,2021,18,5,16,2021-08-24 00:00:00,2021-08-25 00:00:00,2022-05-24 00:00:00,0,0,N,Y,N,F,10,01,1,1,13,2,3,07,39,500,Y,01,06,N,4,1676,Completed: Successful
1223619,122460,BD1A,2021,18,5,16,2021-09-07 00:00:00,2021-08-25 00:00:00,2022-05-24 00:00:00,0,0,N,Y,N,F,10,09,1,1,13,2,4,07,39,500,Y,11,06,N,1,2055,Completed: Successful
1223581,79299,BD1A,2021,18,12,15,2021-09-07 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,09,1,1,6,1,4,07,40,240,Y,11,05,N,4,1167,Completed: Partial Success
1222642,99365,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,6,1,3,07,40,240,Y,11,05,N,6,1167,Completed: Partial Success
1222643,116767,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,6,1,4,07,40,240,Y,01,05,N,4,3471,Completed: Successful
1222644,132211,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,M,10,01,1,1,6,1,4,07,40,240,Y,11,05,N,6,646,Completed: Partial Success
1222645,116866,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,14,01,1,1,6,1,4,07,40,240,Y,01,05,N,1,6158,Completed: Successful
1222647,114807,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,M,10,01,1,1,6,1,4,07,40,240,Y,11,05,N,6,469,Completed: Successful
1222649,118637,BD1A,2021,18,12,16,2021-09-02 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,M,10,01,1,1,6,1,4,07,40,240,Y,11,05,N,1,3805,Completed: Successful
1224214,116792,BD1A,2021,18,12,16,2021-09-10 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,09,1,1,6,1,4,07,40,240,Y,01,05,N,1,1556,Completed: Successful
1224215,154478,BD1A,2021,18,12,16,2021-09-10 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,6,1,3,07,40,240,Y,11,05,N,1,1106,Completed: Partial Success
1224217,116810,BD1A,2021,18,12,16,2021-09-10 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,90,1,1,6,1,4,07,40,240,Y,01,05,N,1,1106,Completed: Successful
1225121,95453,BD1A,2021,18,12,16,2021-09-17 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,02,1,1,6,1,4,07,40,240,Y,11,05,N,6,1637,Completed: Partial Success
1224967,102029,BD1A,2021,18,14,16,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,3,3,07,34,280,Y,01,05,N,1,522,Completed: Successful
1223608,87928,BD1A,2021,19,5,16,2021-09-07 00:00:00,2021-08-25 00:00:00,2022-05-24 00:00:00,0,0,N,Y,N,M,10,01,1,1,13,2,4,07,39,500,Y,01,06,N,1,440,Completed: Partial Success
1217297,175744,BD1A,2021,19,5,17,2021-08-26 00:00:00,2021-08-25 00:00:00,2022-05-24 00:00:00,0,0,N,Y,N,M,10,01,1,1,13,2,4,07,39,500,Y,01,06,N,1,4695,Completed: Successful
1224216,81345,BD1A,2021,19,12,16,2021-09-10 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,6,1,4,07,40,240,Y,11,05,N,6,1556,Completed: Successful
1224980,81735,BD1A,2021,19,12,16,2021-09-16 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,31,01,1,1,6,1,4,07,40,240,Y,11,05,N,6,5987,Completed: Successful
1224981,81349,BD1A,2021,19,12,17,2021-09-16 00:00:00,2021-08-24 00:00:00,2022-04-29 00:00:00,0,0,N,Y,N,F,10,01,1,1,6,1,4,07,40,240,Y,11,05,N,6,1957,Completed: Partial Success
1224970,161890,BD1A,2021,19,14,16,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,6700,Completed: Successful
1224971,88210,BD1A,2021,19,14,16,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,4709,Completed: Successful
1226367,96663,BD1A,2021,19,14,16,2021-09-27 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,11,05,N,6,1362,Further Withdrawal
1217435,176951,BD1A,2021,19,14,17,2021-08-27 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,11,05,N,6,698,Completed: Successful
1217436,87850,BD1A,2021,19,14,17,2021-08-27 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,2996,Completed: Successful
1217441,176952,BD1A,2021,19,14,17,2021-08-27 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,31,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,6076,Early Withdrawal
1222891,93453,BD1A,2021,19,14,17,2021-09-03 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,31,01,1,1,0,3,4,07,34,280,Y,01,05,N,1,2690,Completed: Successful
1224968,81842,BD1A,2021,19,14,17,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,3,4,07,34,280,Y,01,05,N,1,3981,Further Withdrawal
1224972,96308,BD1A,2021,19,14,17,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,01,05,N,1,3411,Completed: Successful
1217000,133263,BD1A,2021,20,10,17,2021-08-25 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,2,3,07,34,280,Y,01,06,N,"",610,Further Withdrawal
1217003,132883,BD1A,2021,20,10,18,2021-08-25 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,11,06,N,6,2781,Completed: Successful
1224973,123436,BD1A,2021,20,14,17,2021-09-16 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,3,07,34,280,Y,01,05,N,1,5483,Completed: Successful
1296323,114938,BD1A,2021,20,14,18,2021-12-07 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,11,05,N,1,2165,Completed: Successful
1222281,112530,BD1A,2021,21,10,18,2021-08-31 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,02,1,1,0,2,3,07,34,280,Y,01,06,N,1,6319,Completed: Successful
1222151,129109,BD1A,2021,21,10,19,2021-08-31 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,Y,01,06,N,1,4252,Completed: Successful
1222279,115981,BD1A,2021,22,10,20,2021-08-31 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,33,02,1,1,0,2,3,07,34,280,Y,03,06,N,1,624,Completed: Successful
1225805,100951,BD1A,2021,22,10,20,2021-09-23 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,01,06,N,1,1745,Completed: Successful
1389028,151207,BD1A,2021,22,14,20,2022-06-28 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,3,4,07,34,280,Y,11,05,N,6,3534,Completed: Partial Success
1225518,16612,BD1A,2021,23,12,21,2021-09-21 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,M,10,90,1,1,5,1,4,07,28,170,Y,02,04,N,1,6047,Completed: Successful
1223643,92316,BD1A,2021,23,14,21,2021-09-08 00:00:00,2021-08-30 00:00:00,2022-06-15 00:00:00,0,0,N,Y,N,M,10,01,1,1,0,3,1,07,34,280,Y,01,05,N,2,5920,Early Withdrawal
1337579,184510,BD1A,2021,24,10,21,2022-02-22 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,Y,01,06,N,1,69,Completed: Successful
1338162,141813,BD1A,2021,24,10,22,2022-02-25 00:00:00,2021-08-30 00:00:00,2022-07-30 00:00:00,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,Y,01,06,N,1,2113,Completed: Successful
1294731,120988,BD1A,2021,24,12,21,2021-12-02 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,M,10,01,1,1,5,1,4,07,28,170,Y,11,04,N,1,6189,Completed: Successful
1317671,1347,BD1A,2021,31,12,28,2022-01-25 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,31,02,1,1,5,1,4,07,28,170,Y,11,04,N,6,3981,Completed: Successful
1225515,167048,BD1A,2021,34,12,31,2021-09-21 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,11,02,1,1,5,1,4,07,28,170,Y,01,04,N,1,3630,Completed: Successful
1225513,177384,BD1A,2021,36,12,33,2021-09-21 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,10,05,1,1,5,1,4,07,28,170,Y,02,04,N,1,1637,Further Withdrawal
1225497,110952,BD1A,2021,36,12,34,2021-09-21 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,10,09,1,1,5,1,4,07,28,170,Y,01,04,N,1,1521,Completed: Successful
1314697,156311,BD1A,2021,39,12,37,2022-01-12 00:00:00,2021-08-30 00:00:00,2022-06-16 00:00:00,0,0,N,Y,N,F,10,09,1,1,5,1,4,07,28,170,Y,01,04,N,6,69,Completed: Successful
