EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,Sum of HasChildcareFund,Sum of HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Sum of Confirmed,Sum of HoursPerWeek,Sum of LengthOfCourse,MaritalStatusCode,MoACode,Sum of NumberOfWeeks,Sum of PlannedLearningHours,OutcomeTitle,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,Sum of SIMD_Rank
1601266,140306,BD1A,2023,16,12,16,0,0,N,Y,N,F,11,01,1,1,5,1,3,07,40,180,,Y,01,04,N,1,2452
1592061,102032,BD1A,2023,18,12,18,0,0,N,Y,N,F,31,99,1,1,5,1,3,07,40,180,,Y,01,04,N,1,866
1600681,88210,BD1A,2023,19,10,18,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,,Y,01,06,N,1,4709
1592792,87850,BD1A,2023,19,10,19,0,0,N,Y,N,F,10,01,1,1,0,2,3,07,34,280,,Y,01,06,N,1,2996
1600666,96308,BD1A,2023,19,10,19,0,0,N,Y,N,F,10,01,1,1,0,2,4,07,34,280,,Y,01,06,N,1,3411
1600710,93453,BD1A,2023,19,10,19,0,0,N,Y,N,F,31,01,1,1,0,2,4,07,34,280,,Y,01,06,N,1,2690
1606572,121072,BD1A,2023,21,15,21,0,0,N,Y,N,F,10,01,1,1,5,1,3,07,40,200,,Y,01,06,N,1,5899
1596818,200193,BD1A,2023,23,15,23,0,0,N,Y,N,M,10,01,1,1,3,2,3,07,31,120,,Y,01,05,N,1,3449
1603583,56928,BD1A,2023,24,15,24,0,0,N,Y,N,F,10,01,1,1,3,2,3,07,31,120,,Y,01,05,N,1,2278
1606590,34408,BD1A,2023,24,15,24,0,0,N,Y,N,F,10,99,1,1,5,1,3,07,40,200,,Y,01,06,N,1,2798
1603045,65614,BD1A,2023,25,15,24,0,0,N,Y,N,F,10,01,1,1,3,2,4,07,31,120,,Y,01,05,N,1,1877
1603046,190246,BD1A,2023,25,15,25,0,0,N,Y,N,F,10,01,1,1,3,2,3,07,31,120,,Y,01,05,N,1,4299
1587330,198698,BD1A,2023,26,12,26,0,0,N,Y,N,F,31,99,1,1,5,1,3,07,40,180,,Y,01,04,N,1,400
1606563,11098,BD1A,2023,26,15,25,0,0,N,Y,N,F,33,01,1,1,5,1,3,07,40,200,,Y,01,06,N,1,3102
1586274,55281,BD1A,2023,27,12,27,0,0,N,Y,N,M,10,99,1,1,5,1,3,07,40,180,,Y,01,04,N,1,3177
1596510,200189,BD1A,2023,27,15,27,0,0,N,Y,N,F,10,01,1,1,3,2,3,07,31,120,,Y,01,05,N,1,1676
1605475,10092,BD1A,2023,28,15,28,0,0,N,Y,N,F,10,01,1,1,3,2,3,07,31,120,,Y,01,05,N,1,2569
1606612,142897,BD1A,2023,28,15,28,0,0,N,Y,N,F,10,01,1,1,5,1,1,07,40,200,,Y,01,06,N,1,2781
1596756,200192,BD1A,2023,29,15,29,0,0,N,Y,N,F,10,01,1,1,5,1,3,07,40,200,,Y,01,06,N,1,1062
1602311,200644,BD1A,2023,29,15,29,0,0,N,Y,N,F,10,01,1,1,3,2,4,07,31,120,,Y,03,05,N,1,2405
1596851,200195,BD1A,2023,30,15,29,0,0,N,Y,N,F,10,99,1,1,3,2,3,07,31,120,,Y,01,05,N,1,1798
1596773,5457,BD1A,2023,30,15,30,0,0,N,Y,N,F,10,01,1,1,5,1,3,07,40,200,,Y,01,06,N,1,372
