EnrolmentID,StudentID,AllCourseID,AcademicYear,Age,ClassSize,Age_CourseStart,Sum of HasChildcareFund,Sum of HasHardshipFund,HE,FE,FT,GenderCode,EthnicityCode,DisabilityCode,Count of CourseCodeID,Sum of Confirmed,Sum of HoursPerWeek,Sum of LengthOfCourse,MaritalStatusCode,MoACode,Sum of NumberOfWeeks,Sum of PlannedLearningHours,OutcomeTitle,PT,ReligionCode,ScqfLevelCode,Semester2Start,SexualOrientationCode,Sum of SIMD_Rank
1291455,177791,BD1A,2021,17,12,15,0,0,N,Y,N,F,10,1,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,3,4,N,6,987
1222763,174523,BD1A,2021,18,5,15,0,0,N,Y,N,M,10,1,1,1,13,2,3,7,39,500,Student has progressed to next year but did not gain 70% of the credits undertaken,Y,1,6,N,1,4299
1216867,138741,BD1A,2021,18,5,16,0,0,N,Y,N,F,10,1,1,1,13,2,3,7,39,500,"Completed, student assessed and successful",Y,1,6,N,4,1676
1223619,122460,BD1A,2021,18,5,16,0,0,N,Y,N,F,10,9,1,1,13,2,4,7,39,500,"Completed, student assessed and successful",Y,11,6,N,1,2055
1223581,79299,BD1A,2021,18,12,15,0,0,N,Y,N,F,10,9,1,1,6,1,4,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,4,1167
1222642,99365,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,1,1,1,6,1,3,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,6,1167
1222643,116767,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,1,5,N,4,3471
1222644,132211,BD1A,2021,18,12,16,0,0,N,Y,N,M,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,6,646
1222645,116866,BD1A,2021,18,12,16,0,0,N,Y,N,F,14,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,1,5,N,1,6158
1222647,114807,BD1A,2021,18,12,16,0,0,N,Y,N,M,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,11,5,N,6,469
1222649,118637,BD1A,2021,18,12,16,0,0,N,Y,N,M,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,11,5,N,1,3805
1224214,116792,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,9,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,1,5,N,1,1556
1224215,154478,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,1,1,1,6,1,3,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,1,1106
1224217,116810,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,90,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,1,5,N,1,1106
1225121,95453,BD1A,2021,18,12,16,0,0,N,Y,N,F,10,2,1,1,6,1,4,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,6,1637
1224967,102029,BD1A,2021,18,14,16,0,0,N,Y,N,F,10,2,1,1,0,3,3,7,34,280,"(COVID) student is eligible to progress to next level without successfully completing current course, no need to complete unfinished units next year",Y,1,5,N,1,522
1223608,87928,BD1A,2021,19,5,16,0,0,N,Y,N,M,10,1,1,1,13,2,4,7,39,500,"Completed, student assessed but not successful",Y,1,6,N,1,440
1217297,175744,BD1A,2021,19,5,17,0,0,N,Y,N,M,10,1,1,1,13,2,4,7,39,500,"Completed, student assessed and successful",Y,1,6,N,1,4695
1224216,81345,BD1A,2021,19,12,16,0,0,N,Y,N,F,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,11,5,N,6,1556
1224980,81735,BD1A,2021,19,12,16,0,0,N,Y,N,F,31,1,1,1,6,1,4,7,40,240,"Completed, student assessed and successful",Y,11,5,N,6,5987
1224981,81349,BD1A,2021,19,12,17,0,0,N,Y,N,F,10,1,1,1,6,1,4,7,40,240,"Completed, student assessed but not successful",Y,11,5,N,6,1957
1360389,114574,BD1A,2021,19,12,17,0,0,N,Y,N,M,10,1,1,1,5,1,4,7,28,170,(COVID) student unable to complete course and is expected to return next session to complete outstanding units and also to start another course,Y,11,4,N,,1167
1224970,161890,BD1A,2021,19,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,6700
1224971,88210,BD1A,2021,19,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,4709
1226367,96663,BD1A,2021,19,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Withdrawn from programme/course and destination unknown,Y,11,5,N,6,1362
1217435,176951,BD1A,2021,19,14,17,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,11,5,N,6,698
1217436,87850,BD1A,2021,19,14,17,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,2996
1217441,176952,BD1A,2021,19,14,17,0,0,N,Y,N,F,31,1,1,1,0,3,3,7,34,280,Withdrawn from Programme/Course and commenced employment,Y,1,5,N,1,6076
1222891,93453,BD1A,2021,19,14,17,0,0,N,Y,N,F,31,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,2690
1224968,81842,BD1A,2021,19,14,17,0,0,N,Y,N,F,10,2,1,1,0,3,4,7,34,280,Withdrawn from programme/course and destination unknown,Y,1,5,N,1,3981
1224972,96308,BD1A,2021,19,14,17,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,3411
1217000,133263,BD1A,2021,20,10,17,0,0,N,Y,N,F,10,2,1,1,0,2,3,7,34,280,Withdrawn from programme/course and destination unknown,Y,1,6,N,,610
1217003,132883,BD1A,2021,20,10,18,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,11,6,N,6,2781
1224973,123436,BD1A,2021,20,14,17,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,5483
1296323,114938,BD1A,2021,20,14,18,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,11,5,N,1,2165
1222281,112530,BD1A,2021,21,10,18,0,0,N,Y,N,F,10,2,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,6319
1222151,129109,BD1A,2021,21,10,19,0,0,N,Y,N,F,10,1,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,4252
1353348,73285,BD1A,2021,21,12,18,0,0,N,Y,N,F,10,8,1,1,5,1,4,7,28,170,(COVID) student unable to complete course and is expected to return next session to complete outstanding units and also to start another course,Y,1,4,N,1,3023
1222279,115981,BD1A,2021,22,10,20,0,0,N,Y,N,F,33,2,1,1,0,2,3,7,34,280,"Completed, student assessed and successful",Y,3,6,N,1,624
1225805,100951,BD1A,2021,22,10,20,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,"Completed, student assessed and successful",Y,1,6,N,1,1745
1226934,93712,BD1A,2021,22,10,20,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Enrolled but never attended,Y,1,6,N,1,2973
1389028,151207,BD1A,2021,22,14,20,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,"Completed, student assessed but not successful",Y,11,5,N,6,3534
1225518,16612,BD1A,2021,23,12,21,0,0,N,Y,N,M,10,90,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,2,4,N,1,6047
1223643,92316,BD1A,2021,23,14,21,0,0,N,Y,N,M,10,1,1,1,0,3,1,7,34,280,Withdrawn from programme/course and destination unknown,Y,1,5,N,2,5920
1337579,184510,BD1A,2021,24,10,21,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,69
1338162,141813,BD1A,2021,24,10,22,0,0,N,Y,N,F,10,1,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,2113
1294731,120988,BD1A,2021,24,12,21,0,0,N,Y,N,M,10,1,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,11,4,N,1,6189
1337241,2691,BD1A,2021,30,12,28,0,0,N,Y,N,M,10,1,1,1,5,1,4,7,28,170,(COVID) student unable to complete course and is expected to return next session to complete outstanding units and also to start another course,Y,11,4,N,6,3023
1317671,1347,BD1A,2021,31,12,28,0,0,N,Y,N,F,31,2,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,11,4,N,6,3981
1225515,167048,BD1A,2021,34,12,31,0,0,N,Y,N,F,11,2,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,1,4,N,1,3630
1225513,177384,BD1A,2021,36,12,33,0,0,N,Y,N,F,10,5,1,1,5,1,4,7,28,170,Withdrawn from programme/course and destination unknown,Y,2,4,N,1,1637
1225497,110952,BD1A,2021,36,12,34,0,0,N,Y,N,F,10,9,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,1,4,N,1,1521
1314697,156311,BD1A,2021,39,12,37,0,0,N,Y,N,F,10,9,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,1,4,N,6,69
1225520,46437,BD1A,2021,40,12,38,0,0,N,Y,N,F,10,99,1,1,5,1,4,7,28,170,Enrolled but never attended,Y,1,4,N,6,3023
1225501,162395,BD1A,2021,44,12,42,0,0,N,Y,N,F,10,99,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,1,4,N,6,907
1353350,110428,BD1A,2021,47,12,45,0,0,N,Y,N,F,10,1,1,1,5,1,1,7,28,170,"Completed, student assessed but not successful",Y,1,4,N,1,1167
1314698,175400,BD1A,2021,50,12,47,0,0,N,Y,N,M,34,1,1,1,5,1,4,7,28,170,"Completed, student assessed and successful",Y,5,4,N,1,1062
1229252,36182,BD1A,2021,61,12,59,0,0,N,Y,N,F,10,1,1,1,5,1,3,7,28,170,"Completed, student assessed and successful",Y,1,4,N,1,646
1337212,129804,BD1A,2021,66,12,63,0,0,N,Y,N,M,10,5,1,1,5,1,4,7,28,170,"Completed, student assessed but not successful",Y,1,4,N,6,1521
1525567,124375,BD1A,2022,16,14,15,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,1682
1556053,195045,BD1A,2022,17,14,15,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,6461
1414162,190304,BD1A,2022,17,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,1846
1418623,176198,BD1A,2022,17,14,16,0,0,N,Y,N,F,15,1,1,1,0,3,3,7,34,280,Withdrawn from Programme/Course and commenced employment,Y,10,5,N,1,961
1524884,99496,BD1A,2022,17,14,16,0,0,N,Y,N,F,31,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,11,5,N,1,3471
1556311,104009,BD1A,2022,17,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,2972
1414148,190303,BD1A,2022,18,14,16,0,0,N,Y,N,F,10,1,1,1,0,3,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,5,N,1,3226
1571294,159035,BD1A,2022,19,10,18,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,3805
1418518,146525,BD1A,2022,20,10,18,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Withdrawn from programme/course and destination unknown,Y,1,6,N,1,1767
1568870,123436,BD1A,2022,20,10,18,0,0,N,Y,N,F,10,1,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,5483
1418511,157066,BD1A,2022,20,10,19,0,0,N,Y,N,F,10,1,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,1,5139
1423935,73285,BD1A,2022,21,12,19,0,0,N,Y,N,F,10,8,1,1,5,1,4,7,40,180,Withdrawn from programme/course and destination unknown,Y,1,4,N,1,3023
1418526,117441,BD1A,2022,22,10,21,0,0,N,Y,N,F,10,1,1,1,0,2,4,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,11,6,N,1,400
1423950,116271,BD1A,2022,22,12,20,0,0,N,Y,N,M,10,99,1,1,5,1,4,7,40,180,"Completed, student assessed but not successful",Y,4,4,N,1,3471
1414139,69850,BD1A,2022,23,14,22,0,0,N,Y,N,F,10,99,1,1,0,3,4,7,34,280,Enrolled but never attended,Y,1,5,N,1,1670
1557820,185608,BD1A,2022,24,12,22,0,0,N,Y,N,F,10,90,1,1,5,1,3,7,40,180,Withdrawn from programme/course and destination unknown,Y,1,4,N,1,69
1568224,176590,BD1A,2022,25,10,24,0,0,N,Y,N,M,10,9,1,1,0,2,3,7,34,280,Student is on an interim year of a multi-year VQ programme and is on-track and is still participating in the college programme,Y,1,6,N,2,328
1549541,176590,BD1A,2022,25,14,24,0,0,N,Y,N,M,10,9,1,1,0,3,3,7,34,280,"Completed, student assessed and successful",Y,1,5,N,2,328
1532599,195040,BD1A,2022,33,12,32,0,0,N,Y,N,F,10,3,1,1,5,1,3,7,40,180,"Completed, student assessed and successful",Y,1,4,N,1,2257
1423891,7992,BD1A,2022,34,12,33,0,0,N,Y,N,F,10,1,1,1,5,1,4,7,40,180,"Completed, student assessed and successful",Y,1,4,N,1,1772
1533261,195150,BD1A,2022,37,12,36,0,0,N,Y,N,M,10,1,1,1,5,1,3,7,40,180,"Completed, student assessed and successful",Y,1,4,N,1,2257
